Object_ID, Length, Assignment
NODE_1_length_11858_cov_142.434620,11858,37124
NODE_2_length_11379_cov_44.184858,11379,218849
NODE_3_length_11335_cov_43.923903,11335,218849
NODE_4_length_11016_cov_55.943982,11016,1972570
NODE_5_length_10101_cov_31.123155,10101,1302179
NODE_6_length_10084_cov_30.039656,10084,1302179
NODE_7_length_9222_cov_14.870259,9222,390845
NODE_90_length_1039_cov_5.412008,1039,390845
NODE_92_length_1025_cov_5.007353,1025,390845
NODE_114_length_847_cov_4.816537,847,390845
NODE_124_length_796_cov_4.925311,796,37124
NODE_163_length_625_cov_5.923913,625,390845
NODE_1118_length_231_cov_31.025316,231,37124
